start	end	locality_key	plot	life_condition	coordinates	_coordinates_latitude	_coordinates_longitude	_coordinates_altitude	_coordinates_precision	person_key	tree_number	sampled	photo_tree	tree_diameter_category	tree_heigth	tree_nodes	tree_health	tree_health/healthy	tree_health/ozone	tree_health/fungi	tree_health/drougth	tree_health/worm	tree_health/insect	tree_health/acid_rain	tree_health/other	ozone_damage_percentage	ozone_damage_percentage/less_10	ozone_damage_percentage/10-40	ozone_damage_percentage/50	ozone_damage_percentage/50-70	ozone_damage_percentage/70-100	ozone_damage_percentage/option_6	other_damages_percentage	other_damages_percentage/less_10	other_damages_percentage/10-40	other_damages_percentage/50	other_damages_percentage/50-70	other_damages_percentage/70-100	other_damages_percentage/option_6	photo_health	bud	photo_bud	branch_nodes	nodes_with_leaves	photo_branch	cones	cone_sex	photo_cones	tree_exposition	surronding_vegetation	surronding_vegetation/fir	surronding_vegetation/pine	surronding_vegetation/oak	surronding_vegetation/bush	surronding_vegetation/grass	surronding_vegetation/other	reforested	reforestation_code	__version__	_version_	_Se_colectaron_ac_culas	_id	_uuid	_submission_time	_validation_status	_index							
2020-12-15T10:48:38.418-06:00	2020-12-15T10:58:58.582-06:00	CX	1	alive	19.2901373 -99.2991958 3490.396728515625 4.459	19.2901373	-99.2991958	3490.396729	4.459	D	3	yes	1608051160962.jpg	6_cm	2.7	7	healthy	1	0	0	0	0	0	0	0															1608051404726.jpg	closed	1608051445458.jpg	3	3	1608051494402.jpg	no			exposed	pine grass	0	1	0	0	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7055	74c8a2b8-abbb-4723-a4f7-48f42c791c42	2020-12-15T23:31:06		31							
2020-12-15T10:36:24.154-06:00	2020-12-15T10:48:30.198-06:00	CX	1	alive	19.2902258 -99.2991828 3498.690185546875 4.502	19.2902258	-99.2991828	3498.690186	4.502	D	2	yes	1608050404309.jpg	6_cm	3	7	ozone	0	1	0	0	0	0	0	0	Oct-40	0	1	0	0	0	0								1608050666363.jpg	closed	1608050702931.jpg	4	3	1608050861439.jpg	no			cover	pine grass	0	1	0	0	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7054	0bd1e005-f48a-412c-91e3-368a9c01e412	2020-12-15T23:30:58		32							
2020-12-21T13:47:25.818-05:00	2021-01-13T17:15:28.763-06:00	PN	45	alive						L	108	yes	1608576550078.jpg	1_cm	1	8	drougth other	0	0	0	1	0	0	0	1								less_10	1	0	0	0	0	0	1608576606018.jpg	closed	1608576643160.jpg	3	1	1608576697640.jpg	no			cover	fir pine oak bush grass	1	1	1	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		9368	9b02014a-5bd9-4a2a-a858-de16386d104f	2020-12-24T06:38:17		33							
2020-12-15T10:14:19.895-06:00	2020-12-15T10:36:10.220-06:00	CX	1	alive	19.2901673 -99.2992237 3492.406982421875 4.63	19.2901673	-99.2992237	3492.406982	4.63	D	1	yes	1608049728604.jpg	10_cm	2.5	7	ozone	0	1	0	0	0	0	0	0	Oct-40	0	1	0	0	0	0								1608049980040.jpg	closed	1608050005195.jpg	5	5	1608050100368.jpg	no			cover	pine grass	0	1	0	0	1	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7053	3a8f3310-1e9d-421a-82e2-b2211e2f5917	2020-12-15T23:30:49		34							
2020-01-01T07:21:02.246-05:00	2020-01-01T07:31:18.004-05:00	CX	3	alive	19.2904881 -99.2991715 3474.0 4.978	19.2904881	-99.2991715	3474	4.978	L	5	yes	1577881554342.jpg	10_cm	4.3	9	healthy	1	0	0	0	0	0	0	0															1577881674288.jpg	closed	1577881774226.jpg	6	4	1577881845908.jpg	no			cover	fir oak bush	1	0	1	1	0	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7311	8bc2f92e-d8ef-4aef-8798-60e6903eeb56	2020-12-16T03:23:58		35							
2020-01-01T07:10:43.169-05:00	2020-01-01T07:19:40.594-05:00	CX	3	alive	19.2904575 -99.2992862 3493.0 4.948	19.2904575	-99.2992862	3493	4.948	L	4	yes	1577880913773.jpg	10_cm	4	7	ozone	0	1	0	0	0	0	0	0	less_10	1	0	0	0	0	0								1577881021344.jpg	closed	1577881111408.jpg	5	3	1577881157256.jpg	no			cover	fir oak bush	1	0	1	1	0	0	yes	2013	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7310	ba49202b-b7e0-449c-b337-2fd7e50d4955	2020-12-16T03:22:08		36							
2020-01-01T08:47:20.000-05:00	2020-01-01T08:57:54.064-05:00	CX	5	alive	19.2928082 -99.2992296 3480.0 9.923	19.2928082	-99.2992296	3480	9.923	L	8	yes	1577886765365.jpg	2_cm	1	4	drougth	0	0	0	1	0	0	0	0								less_10	1	0	0	0	0	0	1577886887982.jpg	closed	1577886923215.jpg	7	2	1577887033142.jpg	no			cover	fir bush oak grass	1	0	1	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7314	5e782636-13b5-46a8-9580-51bf7dc61c10	2020-12-16T03:31:33		37							
2020-01-01T08:58:11.197-05:00	2020-01-01T09:07:06.040-05:00	CX	5	alive	19.2927686 -99.299273 3473.0 16.81	19.2927686	-99.299273	3473	16.81	L	9	yes	1577887384135.jpg	2_cm	2.5	8	drougth	0	0	0	1	0	0	0	0								less_10	1	0	0	0	0	0	1577887458844.jpg	closed	1577887544064.jpg	7	4	1577887604183.jpg	no			cover	fir oak bush grass	1	0	1	1	1	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7316	211d79d0-b58b-4ae8-a4a4-b1b726c9f11b	2020-12-16T03:51:27		38							
2020-01-01T09:07:24.430-05:00	2020-01-01T09:28:08.687-05:00	CX	5	alive	19.2927699 -99.2992758 3490.0 4.982	19.2927699	-99.2992758	3490	4.982	L	10	yes	1577888590602.jpg	2_cm	2	6	drougth	0	0	0	1	0	0	0	0								less_10	1	0	0	0	0	0	1577888689941.jpg	closed	1577888804418.jpg	8	3	1577888861793.jpg	no			cover	fir oak bush	1	0	1	1	0	0	no		vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7318	0b5a794b-38bd-4926-b99e-2cc62a701c8c	2020-12-16T03:59:20		39							
2020-12-15T10:57:02.512-06:00	2020-12-15T11:46:08.944-06:00	CX	3	alive	19.2905237 -99.299361 3475.4164443137124 4.9	19.2905237	-99.299361	3475.416444	4.9	E	4	yes	1608051611662.jpg	6_cm	2.8	8	healthy	1	0	0	0	0	0	0	0															1608051738498.jpg	closed	1608051804424.jpg	3	3	1608051844335.jpg	no			cover	grass	0	0	0	0	1	0	yes	Np	vXUqLb5yRUz3beTZ5RH2Po	ve2Ra7B3R6qR3ReDevQ9eJ		7082	03f3b742-4a1b-4cb9-a72e-d505115dc3ac	2020-12-15T23:35:29		40							
